Product Name,link,ean_value,Price,Image URL,Alt Text
Salgadinho De Milho Lua Parmesão Elma Chips Cheetos 125g,https://www.supermuffato.com.br/salgadinho-de-milho-cheetos-lua-parmesao-125g-278012/p,7892840817763,9.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho de Trigo Elma Chips Stiksy 120g,https://www.supermuffato.com.br/salgadinho-de-trigo-elma-chips-stiksy-120g-278010/p,7892840818029,7.6,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho Pingo D'ouro Bacon 120g,https://www.supermuffato.com.br/salgadinho-de-trigo-elma-chips-pingo-d-ouro-bacon-120g-278009/p,7892840818043,7.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho de Milho Elma Chips Doritos Queijo Nacho 140g,https://www.supermuffato.com.br/salgadinho-de-milho-elma-chips-doritos-queijo-nacho-140g-275359/p,7892840814540,12.9,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Onda Requeijão Elma Chips Cheetos 140g,https://www.supermuffato.com.br/salgadinho-elma-chips-cheetos-onda-requeijao-140g-264821/p,7892840816261,9.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Ovinhos De Amendoim Elma Chips Pacote 170g,https://www.supermuffato.com.br/salgadinho-elma-ch-amendoim-ovinho-170g-254310/p,7892840814816,9.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Bebida Láctea Uht Chocolate Toddynho Caixa 200ml,https://www.supermuffato.com.br/achocolatado-toddynho-chocolate-200ml-12059/p,7894321722016,3.9,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Achocolatado Em Pó Toddy Original 750g,https://www.supermuffato.com.br/achocolatado-em-po-toddy-original-750g-279996/p,7892840819170,16.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho Lua Parmesão Elma Chips Cheetos 40G,https://www.supermuffato.com.br/salgadinho-lua-parmesao-elma-chips-cheetos-40g-278018/p,7892840817909,4.7,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Onda Requeijão Elma Chips Cheetos 230g,https://www.supermuffato.com.br/salgadinho-de-milho-cheetos-onda-requeijao-230g-278014/p,7892840817879,14.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Sortido Mix De Queijos Elma Chips Cheetos 115g,https://www.supermuffato.com.br/salgadinho-de-milho-cheetos-mix-115g-278013/p,7892840817848,9.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Ovinhos de Amendoim Elma Chips 65g,https://www.supermuffato.com.br/amendoim-elma-chips-ovinhos-65g-278011/p,7892840818258,4.2,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho Pingo D'ouro Picanha 90g,https://www.supermuffato.com.br/salgadinho-de-trigo-elma-chips-pingo-d-ouro-picanha-90g-278008/p,7892840818104,7.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Batata Palha Elma Chips Tradicional 425g,https://www.supermuffato.com.br/batata-palha-elma-chips-tradicional-425g-275360/p,7892840818234,33.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Batata Frita Ondulada Original Elma Chips Ruffles Pacote 115g,https://www.supermuffato.com.br/batata-ruffles-ondulada-original-115g-275352/p,7892840817978,12.0,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Batata Lay's Lisa Clássica 135g,https://www.supermuffato.com.br/batata-elma-chips-lays-classica-pct-135g-275346/p,7892840818050,13.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Batata Ruffles Ondulada Original 76g,https://www.supermuffato.com.br/batata-ruffles-ondulada-original-76g-275336/p,7892840818203,9.7,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho de Trigo Churrasco Torcida Pacote 100g,https://www.supermuffato.com.br/salgadinho-torcida-churrasco-100g-266871/p,7892840817077,4.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Onda Requeijão Elma Chips Cheetos 45g,https://www.supermuffato.com.br/salgadinho-elma-chips-cheetos-onda-requeijao-45g-264832/p,,4.7,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Presunto Elma Chips Fandangos 140g,https://www.supermuffato.com.br/salgadinho-elma-chips-fandangos-presunto-140g-264825/p,7892840816322,8.2,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Batata Ruffles Ondulada Cebola E Salsa 76g,https://www.supermuffato.com.br/batata-ruffles-ondulada-cebola-e-salsa-76g-275342/p,7892840818180,9.7,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Batata Palha Tradicional Elma Chips 215G,https://www.supermuffato.com.br/batata-palha-tradicional-elma-chips-215g-275334/p,7892840818241,18.6,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Trigo Cebola Torcida 100g,https://www.supermuffato.com.br/salgadinho-torcida-cebola-100g-266872/p,7892840817091,4.5,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Presunto Elma Chips Fandangos Pacote 45G,https://www.supermuffato.com.br/salgadinho-elma-chips-fandangos-presunto-45g-264870/p,7892840816438,4.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho Elma Chips Fandangos Queijo 45g,https://www.supermuffato.com.br/salgadinho-elma-chips-fandangos-queijo-45g-264867/p,,4.8,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
Salgadinho De Milho Queijo Elma Chips Fandangos 140g,https://www.supermuffato.com.br/salgadinho-elma-chips-fandangos-queijo-140g-264823/p,7892840816339,8.2,https://muffatosupermercados.vteximg.com.br/arquivos/smd_home_slider_a_24_01_01_pepsico_verao_frete.png?v=638397932371770000,pepsico
